instance,true_class,explainer,p_original,comprehensiveness_auc,sufficiency_auc,comp_k1,comp_k2,comp_k3,comp_k4,comp_k5,comp_k6,comp_k7,comp_k8,comp_k9,comp_k10,suff_k1,suff_k2,suff_k3,suff_k4,suff_k5,suff_k6,suff_k7,suff_k8,suff_k9,suff_k10
1592204,Exploits,Random,0.9145382046699524,0.2286541283130646,3.427421112960208e-07,0.89651364,0.8309337,0.7734192,0.7359606,0.7256045,0.66170835,0.6187459,0.6187459,0.525967,0.47124195,2.405772e-07,2.2175465e-07,3.9930632e-07,3.993063e-07,3.993063e-07,4.0244373e-07,3.655605e-07,2.621539e-07,2.2499106e-07,2.1910756e-07
1723770,Exploits,LIME,0.9416558146476746,0.9416031803484429,0.027617006901284647,0.00031659755,3.1788186e-05,4.771961e-06,3.4274988e-06,4.409448e-06,4.409448e-06,2.9572231e-05,4.2924712e-05,4.709048e-05,4.1351475e-05,0.00029742107,0.0009456144,0.009590746,0.018294184,0.02712168,0.02781014,0.026160287,0.030288491,0.06018215,0.059366424
1723770,Exploits,TreeSHAP,0.9416558146476746,0.9415884404378858,0.0012587977222307779,0.00031659755,0.00026465638,5.6616893e-05,4.307539e-06,3.267731e-06,5.9124195e-06,5.912421e-06,5.12005e-06,5.5393184e-06,5.8117953e-06,0.00029742107,0.00048052188,0.0010723282,0.0013268793,0.0007743904,0.001548869,0.0015941272,0.0018277848,0.0012605385,0.0016706821
1723770,Exploits,Random,0.9416558146476746,0.0709195852279663,4.798325793167906e-07,0.9416558,0.94465256,0.9207181,0.9458375,0.9445534,0.9445534,0.69759506,0.692469,0.83478975,0.8405378,2.405772e-07,1.8795751e-07,1.8795751e-07,2.007816e-07,2.007816e-07,2.007816e-07,6.9710796e-07,6.8213524e-07,6.645961e-07,1.255695e-06
1669264,Exploits,LIME,0.9952811598777771,0.995131361245069,0.005376082491862671,0.0012926176,0.00015425637,1.3925904e-05,1.169647e-05,5.4313386e-06,5.6896342e-06,4.08863e-06,4.2803204e-06,4.1158505e-06,1.8841678e-06,0.00012865497,0.00052065076,0.005568848,0.0061639734,0.0076263878,0.008117042,0.008099268,0.005053404,0.0060913768,0.0061375313
1669264,Exploits,TreeSHAP,0.9952811598777771,0.9951265698204225,0.0002911134677718598,0.0012926176,0.00013877572,4.8749058e-05,4.8749094e-05,3.422772e-06,3.5051473e-06,3.1350671e-06,3.1740708e-06,2.1386095e-06,1.6333904e-06,0.00012865497,0.00012857244,6.731306e-05,8.736126e-05,0.00018321014,0.00015481132,0.0004570122,0.00042215738,0.00057621516,0.0006920896
1669264,Exploits,Random,0.9952811598777771,0.08450344204902649,5.891571796829532e-07,0.9754733,0.9847115,0.9492673,0.9202287,0.88082784,0.86304957,0.8501513,0.91078997,0.8866388,0.8866388,2.405772e-07,5.2932904e-07,5.1540906e-07,3.9884404e-07,6.084932e-07,6.899012e-07,5.982156e-07,6.7193275e-07,8.0553434e-07,8.0553434e-07
1200517,Exploits,LIME,0.959816575050354,0.9596958517867279,0.0051596077684041225,0.00064954243,0.00010657995,0.00012228022,0.0001223981,0.0001250018,1.623453e-05,1.4978727e-05,1.6449763e-05,1.6449763e-05,1.7317356e-05,0.00012865497,0.00052065076,0.00048621424,0.000486217,0.0006049692,0.0071072057,0.009387454,0.009686619,0.009686619,0.011428168
1200517,Exploits,TreeSHAP,0.959816575050354,0.9597365415287186,0.0005447479524453442,0.00064954243,9.6316624e-05,7.99353e-06,7.673357e-06,7.0660603e-06,7.767718e-06,6.934586e-06,5.393659e-06,5.6725876e-06,5.9746635e-06,0.00012865497,0.00013723648,0.00028107353,0.0003830374,0.00062176,0.00066507095,0.00068121025,0.0008243611,0.0007023709,0.0008038053
1200517,Exploits,Random,0.959816575050354,0.09190726727247238,5.387851691718412e-07,0.963461,0.94871056,0.9421209,0.94855654,0.96927947,0.9740658,0.9442979,0.9332635,0.9218384,0.13349904,2.946107e-07,3.1178433e-07,3.3382142e-07,3.601877e-07,3.1686758e-07,3.2511372e-07,3.2511372e-07,3.5939715e-07,3.9278214e-07,2.1516712e-06
1615917,Exploits,LIME,0.9582082033157349,0.9581268642706163,0.01417915886573245,0.000553275,8.9908914e-05,9.689823e-05,1.4112416e-05,1.258774e-05,1.2485618e-05,1.2072107e-05,7.5551034e-06,7.2305115e-06,7.264822e-06,0.00012865497,0.00052065076,0.00096789974,0.01132226,0.016311036,0.019231735,0.018318988,0.022277506,0.023546727,0.023240408
1615917,Exploits,TreeSHAP,0.9582082033157349,0.9581381419791342,0.00043140185098184156,0.000553275,8.804907e-05,7.2374332e-06,7.4788964e-06,7.537281e-06,8.264309e-06,8.264308e-06,7.642224e-06,6.8528916e-06,6.01196e-06,0.00012865497,0.00013723648,0.00028107353,0.0003830374,0.00039830495,0.00053991796,0.00053991796,0.00052250555,0.00052248535,0.0006805938
1615917,Exploits,Random,0.9582082033157349,0.04521939754486084,2.6733482550327673e-07,0.95722663,0.95722663,0.9472704,0.93353796,0.9345491,0.879594,0.879594,0.8757549,0.8762815,0.8888529,2.405772e-07,2.405772e-07,2.7103385e-07,2.4093404e-07,2.3332517e-07,2.814326e-07,2.814326e-07,2.6572138e-07,2.6446645e-07,2.4212352e-07
